index,Components,RMSE,MAE,R^2
70,"['3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16']",6.9060310881996205,4.420111450093149,0.1528108977485898
71,"['3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17']",6.8853463805637745,4.385583506433426,0.15787824112949367
72,"['0', '1', '2', '3', '4']",7.265849494331638,4.714952312415573,0.062230512771350166
73,"['1', '2', '3', '4']",7.3240583218267234,5.100095590807377,0.047144839349348766
74,"['2', '3', '4']",7.4261877226480095,4.941932194729905,0.02038562544152145
75,"['3', '4']",7.451264694483913,5.0750392124846915,0.013758472937887567
76,['4'],7.5059643472166435,5.163818088042724,-0.0007746522920517585
77,"['4', '5']",7.483968137592014,5.120845286684952,0.005082288438431615
78,"['4', '5', '6']",7.4062333812215515,5.010445925216886,0.025643046354778765
79,"['4', '5', '6', '7']",7.259233221017723,4.840878555117363,0.06393759858836934
80,"['4', '5', '6', '7', '8']",7.215470200650894,4.751669259346696,0.07518987169279168
81,"['4', '5', '6', '7', '8', '9']",7.123924129523058,4.839450287375341,0.09850800715550401
82,"['4', '5', '6', '7', '8', '9', '10']",7.088752323747453,4.70507646163871,0.10738761606701219
83,"['4', '5', '6', '7', '8', '9', '10', '11']",7.04680840234946,4.851707239954321,0.1179194832610806
84,"['4', '5', '6', '7', '8', '9', '10', '11', '12']",7.005183333648088,4.585248260795341,0.12830949771132794
85,"['4', '5', '6', '7', '8', '9', '10', '11', '12', '13']",7.040299313966835,4.469782889527535,0.11954827405710577
86,"['4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14']",6.977772438326453,4.760298722230784,0.13511790468148888
87,"['4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15']",6.951434523251457,4.601376395360381,0.1416346550736466
88,"['4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16']",6.942185523474255,4.591068587017839,0.1439172743970334
89,"['4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17']",6.9198743988001885,4.688814573005071,0.14941107050627112
90,"['0', '1', '2', '3', '4', '5']",7.185814635772598,4.9214360799404755,0.08277618445741097
91,"['1', '2', '3', '4', '5']",7.263584904737669,4.945039558140582,0.06281498182118961
92,"['2', '3', '4', '5']",7.394925153015818,4.8266721321369035,0.028616174150082774
93,"['3', '4', '5']",7.41873988288004,5.11468406099155,0.022349581249472616
94,"['4', '5']",7.482615998921671,5.194087780674998,0.0054417622259468335
95,['5'],7.490604822808366,5.088743017008676,0.0033169459747037777
96,"['5', '6']",7.4555817533340525,5.1157428809259615,0.012615339181664686
97,"['5', '6', '7']",7.378692753947746,5.062898481897596,0.03287601011878338
98,"['5', '6', '7', '8']",7.357650331453104,5.1043076077329514,0.0383841982209141
99,"['5', '6', '7', '8', '9']",7.264508735345388,4.832369903398631,0.06257657192433164
100,"['5', '6', '7', '8', '9', '10']",7.261070678947653,4.915784736795671,0.0634636661742487
101,"['5', '6', '7', '8', '9', '10', '11']",7.141896181715658,4.682100875541994,0.09395374817737245
